No,Title,BodyPart
135,Holman Weighted W-Boat to Overhead Press,Abdominals
136,Holman Weighted Kneeling Lift,Abdominals
137,Holman Hips-Up Weighted Pull-Over,Abdominals
138,Holman Weighted Cross Punch,Abdominals
139,Holman Straight-Leg Boat Hover Chest Press,Abdominals
140,Holman Weighted Pike,Abdominals
141,Holman Feet-Elevated Wax-On Wax-Off,Abdominals
142,Holman Elbow Plank to Towel Pike,Abdominals
143,Holman Seated Killer Abs Overhead Press,Abdominals
144,Holman Straight Plank Alternating Weighted Open,Abdominals
145,Holman Weighted Killer Abs with Overhead Press,Abdominals
146,Holman Weighted Split-Leg Pike,Abdominals
147,Holman Towel Reverse Plank Heel Pull-in,Abdominals
148,Stick Twist,Abdominals
149,Roc Everest,Abdominals
150,Standing cable low-to-high twist,Abdominals
151,Single-arm high-cable side bend,Abdominals
152,Kneeling cable oblique crunch,Abdominals
153,Kneeling cable crunch,Abdominals
154,Rope Crunch,Abdominals
155,Standing cable crunch,Abdominals
156,Bosu Ball Cable Crunch With Side Bends,Abdominals
157,Standing Cable Wood Chop,Abdominals
158,Cable reverse crunch,Abdominals
159,Cable Russian Twists,Abdominals
160,Pallof press with rotation,Abdominals
161,Cable Seated Crunch,Abdominals
162,Cable Judo Flip,Abdominals
163,Exercise Ball Cable Crunch - Gethin Variation,Abdominals
164,Standing cable high-to-low twist,Abdominals
165,Bent-Over Reverse Cable Fly,Abdominals
166,Standing Cable Crunch - Gethin Variation,Abdominals
167,AM Cable Crunch,Abdominals
168,Tyler Holt Weighted Knee-To-Chest Crunch,Abdominals
169,Standing cable twist,Abdominals
170,30 Cable Rope Crunch,Abdominals
171,30 Cable Rope Oblique Crunch,Abdominals
172,Cable lying twist on ball,Abdominals
173,30 Cable Pallof Press,Abdominals
174,30 Cable Reverse Crunch On Ball,Abdominals
175,30 Cable Reverse Crunch,Abdominals
176,Tyler Holt Cable Torso Twist,Abdominals
177,Single-Arm Cable Outward-Facing Biceps Curl,Abdominals
178,Biceps Rope Curl,Abdominals
179,Kneeling Cable Crunches,Abdominals
180,Ab Crunch Machine,Abdominals
181,Smith machine straight-legged hip raise,Abdominals
182,Machine crunch,Abdominals
183,AM Ab Machine,Abdominals
184,Smith machine V-up,Abdominals
185,Elbow plank,Abdominals
186,Bottoms Up,Abdominals
187,Spider crawl,Abdominals
188,Cocoons,Abdominals
189,Cross-Body Crunch,Abdominals
190,Elbow-to-knee crunch,Abdominals
191,Decline Crunch,Abdominals
192,Hanging toes-to-bar,Abdominals
193,Hanging Oblique Knee Raise,Abdominals
194,Gorilla Chin/Crunch,Abdominals
195,Hanging leg raise,Abdominals
196,Mountain climber,Abdominals
197,Ab bicycle,Abdominals
198,3/4 sit-up,Abdominals
199,Reverse crunch,Abdominals
200,Crunches,Abdominals
201,Dead bug reach,Abdominals
202,Crunch - Hands Overhead,Abdominals
203,V-up,Abdominals
204,Stomach Vacuum,Abdominals
205,Russian twist,Abdominals
206,Flat Bench Lying Leg Raise,Abdominals
207,Knees tucked crunch,Abdominals
208,Butt-Ups,Abdominals
209,Feet-elevated oblique crunch,Abdominals
210,Bent-knee reverse crunch,Abdominals
211,Alternating heel-touch,Abdominals
212,Suspended Reverse Crunch,Abdominals
213,Lying bench reverse crunch,Abdominals
214,Sit-up,Abdominals
215,Side Bridge,Abdominals
216,Lying oblique crunch,Abdominals
217,Janda Sit-Up,Abdominals
218,Leg Pull-In,Abdominals
219,Side Jackknife,Abdominals
220,Scissor Kick,Abdominals
221,Toe Touchers,Abdominals
222,Lower Back Curl,Abdominals
223,Exercise ball torso rotation,Abdominals
224,Seated Overhead Stretch,Abdominals
225,Overhead Stretch,Abdominals
226,Seated Scissor Kick,Abdominals
227,Partner resistance standing twist,Abdominals
228,Cross Crunch,Abdominals
229,Full Moon,Abdominals
230,Hanging knee raise with manual resistance,Abdominals
231,Straight-Legged Hip Raise,Abdominals
232,Wall mountain climber,Abdominals
233,Skin The Cat To Push-Up,Abdominals
234,Partner lying leg raise with lateral throw down,Abdominals
235,Hanging leg raise with throw down,Abdominals
236,Partner sit-up with high-five,Abdominals
237,Exercise ball knee roll-in,Abdominals
238,Partner lying leg raise with throw down,Abdominals
239,Crab toe-touch,Abdominals
240,Side kick-through,Abdominals
241,Partner target sit-up,Abdominals
242,Suspended Crunch,Abdominals
243,Jump Lunge,Abdominals
244,Side plank hip dip,Abdominals
245,Elbow plank jack,Abdominals
246,Exercise ball V-up,Abdominals
247,Standing torso twist stretch,Abdominals
248,Slalom jumps,Abdominals
249,Bear crawl,Abdominals
